itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_implantation_debut,semaine_implantation_fin,semaine_recolte,semaine_recolte_fin,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,implantation,forcage,zone_climat,contexte_climatique,statut_validation,actif,source_reference,source_url,source_record_id,source_version,source_licence,derniere_revision,commentaire_agronome,notes
Avocatier — antilles,Avocatier,Lauraceae,Persea americana,,,25,,,26,,16,,1095,,700,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Privilégier la race antillaise (tolérante à la chaleur et à l'humidité) plutôt que mexicaine. Récolte juin-octobre (S26-42), en hivernage. Plantation début hivernage. Craint l'asphyxie racinaire : sol drainant."
Avocatier — austral,Avocatier,Lauraceae,Persea americana,,,46,,,16,,20,,1460,,700,,,,,tropical_austral,,a_revoir,t,,,,,,,"","À la Réunion, la récolte s'étale sur l'hiver austral (avril à septembre) selon les variétés, ce qui approvisionne le marché à contre-saison de l'hémisphère nord. Plantation en début de pluies sur sol drainant, à l'abri d"
Avocatier — equatorial,Avocatier,Lauraceae,Persea americana,,,15,,,28,,18,,1095,,800,,,,,equatorial,,a_revoir,t,,,,,,,"","Utiliser impérativement des variétés de race antillaise (ex. 'Pollock', 'Simmonds'), tolérantes à la chaleur et à l'humidité ; les races mexicaines/guatémaltèques supportent mal le climat équatorial. Récolte principale j"
Bananier — equatorial,Bananier,Musaceae,Musa acuminata (AAA),,,14,,,8,,40,,330,,280,,,,,equatorial,,a_revoir,t,,,,,,,"","Plantation possible quasi toute l'année ; caler l'installation du rejet sur l'entrée des pluies (avril) pour l'enracinement. Après établissement, régimes échelonnés toute l'année. Forte exigence en azote et potasse ; pai"
Bananier plantain — antilles,Bananier plantain,Musaceae,Musa spp.,,,24,,,28,,52,,390,,250,,,,,tropical_antilles,,a_revoir,t,,,,,,,"",Culture phare Guadeloupe/Martinique. Plantation idéale début hivernage (S24) pour couvrir la phase végétative gourmande en eau. Production continue toute l'année une fois la bananeraie installée ; rendement indiqué par r
Bananier plantain — austral,Bananier plantain,Musaceae,Musa spp.,,,44,,,40,,52,,330,,250,,,,,tropical_austral,,a_revoir,t,,,,,,,"",Production quasi continue à l'échelle de la bananeraie : la semaine de récolte indiquée est théorique (10-12 mois après plantation). Plantation idéale en début de saison des pluies pour couvrir la phase de croissance. Fo
Bananier plantain — equatorial,Bananier plantain,Musaceae,Musa spp.,,,14,,,20,,40,,390,,300,,,,,equatorial,,a_revoir,t,,,,,,,"","Installer les rejets à l'entrée des pluies (sem.14). Écartement plus large que le bananier dessert (pseudo-troncs plus hauts). Récolte du régime au stade 'grain plein' avant maturité. Cultivars locaux robustes ('Corne', "
Basilic-plein-champ,Basilic,Lamiaceae,Ocimum basilicum,,14,21,,,26,,4,,35,2,20,30,,Plein champ,,,,a_revoir,t,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15 14:20:20.025,"Basilic : semis pépinière mars, plantation mi-mai après derniers gels, récolte juin à octobre (jusqu'aux premières gelées).","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Basilic-serre,Basilic,Lamiaceae,Ocimum basilicum,Sous abri,10,16,,,22,,4,56,42,2,20,30,,Sous abri,,,,a_revoir,t,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15 14:20:20.025,"Basilic : semis pépinière mars, plantation mi-mai après derniers gels, récolte juin à octobre (jusqu'aux premières gelées).","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Betterave-automne,Betterave,Amaranthaceae,Beta vulgaris,Sous abri,33,,,,45,,4,,84,2,20,30,5,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct, racine pivot — ne pas repiquer. Éclaircir à 5-8 cm. Récolte 60-80 jours selon variété.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Betterave-printemps,Betterave,Amaranthaceae,Beta vulgaris,Plein champ,10,,,,22,,4,,84,2,20,30,5,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct, racine pivot — ne pas repiquer. Éclaircir à 5-8 cm. Récolte 60-80 jours selon variété.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Blette-ete,Blette,Amaranthaceae,Beta vulgaris var. cicla,Plein champ,23,,,,35,,4,,84,2,35,52,3,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct, racine pivot — ne pas repiquer. Éclaircir à 5-8 cm. Récolte 60-80 jours selon variété.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Blette-printemps,Blette,Amaranthaceae,Beta vulgaris var. cicla,Plein champ,14,,,,26,,4,,84,2,35,52,3,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct, racine pivot — ne pas repiquer. Éclaircir à 5-8 cm. Récolte 60-80 jours selon variété.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Bourrache,Bourrache,Boraginaceae,Borago officinalis,,10,,,,22,,4,,84,1,44,66,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Fleur compagne — semis direct ou godet selon espèce. Attire les pollinisateurs, fait office de plante-piège pour les pucerons.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Brède mafane — austral,Brède mafane,Asteraceae,Acmella oleracea,,38,42,,,48,,4,,60,,25,,,,,tropical_austral,,a_revoir,t,,,,,,,"",Semis quasi toute l'année en zone chaude ; croissance plus vigoureuse à la saison chaude. Récolte rapide des feuilles et capitules. Aime les sols frais et riches en matière organique ; arroser régulièrement en saison sèc
Brède mafane — equatorial,Brède mafane,Asteraceae,Acmella oleracea,,10,14,,,20,,8,,55,,30,,,,,equatorial,,a_revoir,t,,,,,,,"",Semis/repiquage en saison humide (mars-avril) sur sol frais et riche en matière organique ; besoins en eau réguliers. Cultivable toute l'année si arrosage. Récolte échelonnée des jeunes feuilles et capitules.
Brède morelle — austral,Brède morelle,Solanaceae,Solanum americanum,,42,,,,50,,6,,50,,30,,,,,tropical_austral,,a_revoir,t,,,,,,,"",Semis échelonnés possibles quasi toute l'année ; démarrage plus rapide en saison chaude. Récolte des feuilles avant montaison ; ne consommer que les feuilles cuites (baies vertes toxiques). Se ressème seule facilement da
Capucine,Capucine,Tropaeolaceae,Tropaeolum majus,,16,,,,28,,4,,84,2,30,45,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Fleur compagne — semis direct ou godet selon espèce. Attire les pollinisateurs, fait office de plante-piège pour les pucerons.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Carambole — antilles,Carambole,Oxalidaceae,Averrhoa carambola,,,25,,,30,,24,,1095,,600,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Tropical, plusieurs cycles par an ; récolte étalée avec pics en hivernage. Fruits fragiles à récolter à maturité. Plantation début hivernage. Aime l'humidité régulière."
Carambole — austral,Carambole,Oxalidaceae,Averrhoa carambola,,,46,,,6,,20,,900,,500,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Grâce à ses floraisons successives, la carambole produit sur une large fenêtre, avec un pic en fin d'été / automne austral (fév.-mai). À installer à l'abri du vent, en zone chaude et humide."
Carambole — equatorial,Carambole,Oxalidaceae,Averrhoa carambola,,,15,,,18,,30,,1095,,550,,,,,equatorial,,a_revoir,t,,,,,,,"",Plusieurs flushes de floraison par an ; récolte étalée avec pics. Arbre très fertile une fois adulte (jusqu'à 100 kg). Préférer variétés douces greffées. Fruits fragiles à récolter à maturité. Bien tolérant à l'humidité
Carotte-automne-conservation-serre,Carotte,Apiaceae,Daucus carota,Sous abri,32,,,,2,,4,,98,3,10,15,3,Plein champ,,,,a_revoir,t,MSV (Maraîchage sur Sol Vivant),,,,,2026-05-15 14:20:20.025,"Carotte d'automne sous tunnel : semis août, récolte octobre-novembre.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte-ete-conservation-plein-champ,Carotte,Apiaceae,Daucus carota,Plein champ,24,,,,40,,4,,112,3,10,15,3,Plein champ,,,,a_revoir,t,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15 14:20:20.025,"Carotte de conservation : semis fin juin (S24), récolte octobre (S40), conservation hivernale.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte-printemps-plein-champ,Carotte,Apiaceae,Daucus carota,Plein champ,12,,,,28,,4,,98,3,10,15,3,Plein champ,,,,a_revoir,t,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15 14:20:20.025,"Carotte de printemps en pleine terre : semis mars-avril, récolte juin-juillet.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte-printemps-serre,Carotte,Apiaceae,Daucus carota,Sous abri,5,,,,19,,4,,98,3,10,15,3,Plein champ,,,,a_revoir,t,MSV (Maraîchage sur Sol Vivant),,,,,2026-05-15 14:20:20.025,"Carotte précoce sous tunnel/serre : semis février, récolte mai (S19).","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chicoree-frisee-printemps,Chicorée frisée,Asteraceae,Cichorium endivia,Plein champ,16,,,,28,,4,,84,2,30,45,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Plant à godet 3 semaines puis transplantation. Récolte échelonnée, sol drainé, exposition mi-ombre acceptée.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chicoree-sauvage-ete,Chicorée sauvage,Asteraceae,Cichorium intybus,Plein champ,22,,,,34,,4,,84,2,30,45,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Plant à godet 3 semaines puis transplantation. Récolte échelonnée, sol drainé, exposition mi-ombre acceptée.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-ete,Chou,Brassicaceae,Brassica oleracea,Plein champ,14,18,,,26,,4,,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-brocoli-ete,Chou brocoli,Brassicaceae,Brassica oleracea var. italica,Plein champ,14,18,,,26,,6,28,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB - Fiches techniques crucifères,,,,,2026-05-15 14:20:20.025,"Cycle 90-120 jours. Semis avril, plantation mai, récolte fin juin à fin juillet.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-bruxelles-ete,Chou de Bruxelles,Brassicaceae,Brassica oleracea var. gemmifera,Plein champ,16,22,,,44,,16,42,84,1,57,85,,Pépinière,,,,a_revoir,t,ITAB - Fiches techniques crucifères,,,,,2026-05-15 14:20:20.025,"Semis avril-mai en pépinière, plantation mai-juin, récolte novembre-février (S44 -> S08 année suivante).","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-chinois-ete,Chou de Chine,Brassicaceae,Brassica rapa subsp. pekinensis,Plein champ,23,27,,,35,,4,,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-frise-ete,Chou frisé,Brassicaceae,Brassica oleracea var. acephala,Plein champ,14,18,,,26,,4,,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-kale-ete,Chou kale,Brassicaceae,Brassica oleracea var. acephala,,16,20,,,28,,4,,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-pomme-automne,Chou pommé,Brassicaceae,Brassica oleracea var. capitata,,33,37,,,45,,4,,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-pomme-ete,Chou pommé,Brassicaceae,Brassica oleracea var. capitata,,20,24,,,32,,4,,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-pomme-printemps,Chou pommé,Brassicaceae,Brassica oleracea var. capitata,,7,11,,,19,,4,,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:20:20.025, \\n [2026-05-14] Chou pommé printemps : récolte S19→S23 (12 sem au lieu de 8).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-fleur-ete,Chou-fleur,Brassicaceae,Brassica oleracea var. botrytis,Plein champ,16,20,,,28,,4,,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-fleur-printemps,Chou-fleur,Brassicaceae,Brassica oleracea var. botrytis,Plein champ,5,9,,,17,,4,,84,1,50,75,,Pépinière,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-rave-hiver-serre,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Sous abri,49,1,,,9,,4,4,84,1,50,75,,Sous abri,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-rave-printemps,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Plein champ,10,14,,,22,,4,,84,1,50,75,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Chenopode,Chénopode,Amaranthaceae,,,14,,,,26,,4,,84,2,30,45,3,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Engrais vert / couvre-sol — semis direct à la volée puis enfouissement avant montée à graines. Améliore la structure du sol.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Cive — antilles,Cive,Alliaceae,Allium fistulosum,,,4,,,13,,12,,75,,20,,,,,tropical_antilles,,a_revoir,t,,,,,,,"",Installation possible toute l'année ; le créneau de carême (sous irrigation) réduit la pression des maladies foliaires liées à l'humidité. Diviser les touffes régulièrement pour relancer la production.
Cive — austral,Cive,Alliaceae,Allium fistulosum,,,20,,,32,,20,,80,,20,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Division/plantation de préférence en début d'hiver austral (mai-juin), saison plus fraîche qui limite la montaison et les maladies. Récolte continue en coupant les feuilles, la souche repartant. Bien drainer : pourrit en"
Cive — equatorial,Cive,Alliaceae,Allium fistulosum,,,44,,,4,,20,,80,,15,,,,,equatorial,,a_revoir,t,,,,,,,"",Plantation d'éclats au retour des pluies (novembre) sur sol bien drainé et riche ; coupes régulières ensuite. Ne forme pas de bulbe en zone équatoriale (photopériode insuffisante) : cultivée pour son feuillage aromatique
Cocotier — antilles,Cocotier,Arecaceae,Cocos nucifera,,,25,,,1,,52,,1825,,800,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Palmier littoral tolérant au sel et au vent, production continue (récolte étalée sur 52 semaines). Rendement en noix (~60-80 noix/an) exprimé en kg. Privilégier variétés naines pour l'eau de coco. Plantation début hivern"
Cocotier — austral,Cocotier,Arecaceae,Cocos nucifera,,,46,,,44,,52,,2555,,800,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Production continue toute l'année une fois adulte (la semaine de récolte est indicative). Espèce littorale par excellence de Polynésie, Wallis et Mayotte, tolérante au sel et au vent. Mise en place de la noix germée en d"
Combava — austral,Combava,Rutaceae,Citrus hystrix,,,46,,,10,,16,,900,,400,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Fruits surtout en fin d'été / automne austral (mars-juin), feuilles cueillies toute l'année. Agrume rustique de basse et moyenne altitude, incontournable à la Réunion et présent à Mayotte et N.-Calédonie."
Combava — equatorial,Combava,Rutaceae,Citrus hystrix,,,15,,,40,,20,,1095,,350,,,,,equatorial,,a_revoir,t,,,,,,,"","Cultivé surtout pour ses feuilles bi-lobées et le zeste bosselé, bases de la cuisine créole et asiatique. Feuilles récoltées toute l'année ; fruits en fin d'année. Se conduit en arbuste taillé. Bien adapté à l'humidité, "
Concombre-ete-serre,Concombre,Cucurbitaceae,Cucumis sativus,Sous abri,14,18,,,26,,4,28,84,1,70,105,,Sous abri,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Concombre-printemps-serre,Concombre,Cucurbitaceae,Cucumis sativus,Sous abri,10,14,,,22,,4,28,84,1,70,105,,Sous abri,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Coriandre,Coriandre,Apiaceae,Coriandrum sativum,Plein champ,6,,,,18,,4,,84,3,15,22,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Aromatique semis direct ou godet. Sol drainé, exposition ensoleillée. Récolte échelonnée des feuilles fraîches.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Corossol — antilles,Corossol,Annonaceae,Annona muricata,,,25,,,36,,20,,1095,,500,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Strictement tropical, gélif, aime chaleur et humidité constantes. Pic de récolte fin hivernage-carême (S36-4). Sensible aux cochenilles/foreurs. Plantation début hivernage."
Corossol — austral,Corossol,Annonaceae,Annona muricata,,,44,,,2,,16,,1095,,400,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Pic de récolte en été austral et début d'automne (janv.-avril). Vrai tropical frileux : réserver aux zones chaudes de basse altitude (littoral Réunion, Mayotte, N.-Calédonie). Pollinisation à la main recommandée en verge"
Corossol — equatorial,Corossol,Annonaceae,Annona muricata,,,15,,,26,,24,,1095,,450,,,,,equatorial,,a_revoir,t,,,,,,,"",L'Annona la mieux adaptée aux climats chauds et humides (contrairement au cœur de bœuf/pomme-cannelle qui préfèrent une saison sèche). Pollinisation manuelle recommandée. Sensible aux cochenilles et à la foreuse des grai
Cosmos,Cosmos,Asteraceae,Cosmos bipinnatus,,16,,,,28,,4,,84,2,30,45,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Fleur compagne — semis direct ou godet selon espèce. Attire les pollinisateurs, fait office de plante-piège pour les pucerons.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Courge-ete,Courge,Cucurbitaceae,Cucurbita maxima,Plein champ,16,20,,,36,,4,,140,1,100,150,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
