itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_implantation_debut,semaine_implantation_fin,semaine_recolte,semaine_recolte_fin,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,implantation,forcage,zone_climat,contexte_climatique,statut_validation,actif,source_reference,source_url,source_record_id,source_version,source_licence,derniere_revision,commentaire_agronome,notes
INRAE-MESCLUN-0015,Ail,Alliaceae,Allium sativum,Sous abri,,3,3,7,18,22,5,,105,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0015,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ail frais — Ail de printemps vert.,
INRAE-MESCLUN-0016,Ail,Alliaceae,Allium sativum,Plein champ,,3,3,7,20,24,5,,119,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0016,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ail frais — Ail de printemps vert.,
Ananas — antilles,Ananas,Bromeliaceae,Ananas comosus,,,24,,,26,,8,,600,,40,,,,,tropical_antilles,,a_revoir,true,,,,,,,,"Plantation des rejets en début d'hivernage (juin, sem. 24) pour profiter des pluies d'installation ; enracinement facile sans arrosage lourd. Floraison naturelle pendant le carême frais (déc.-janv.), récolte l'année suiv"
Ananas — austral,Ananas,Bromeliaceae,Ananas comosus,,,42,,,49,,6,,510,,35,,,,,tropical_austral,,a_revoir,true,,,,,,,,"Plantation des rejets en début de saison chaude et humide (octobre, S42) pour un enracinement avant les pluies d'été. Récolte principale de l'ananas Victoria groupée en été austral (novembre-janvier, pic S49) 15 à 18 moi"
Ananas — equatorial,Ananas,Bromeliaceae,Ananas comosus,,,16,,,32,,6,,500,,35,,,,,equatorial,,a_revoir,true,,,,,,,,"Guyane, plaine littorale (0-50 m), sols ferralitiques acides bien drainés, pluvio 2500-3500 mm/an. Plantation des rejets en début de grande saison des pluies (avril, ~sem. 16) pour un bon enracinement. La floraison natur"
Aneth,Aneth,Apiaceae,Anethum graveolens,Plein champ,15,,,,27,,4,,84,3,18,27,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Aromatique semis direct ou godet. Sol drainé, exposition ensoleillée. Récolte échelonnée des feuilles fraîches.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Arbre à pain — antilles,Arbre à pain,Moraceae,Artocarpus altilis,,,25,,,28,,16,,1460,,1100,,,,,tropical_antilles,,a_revoir,true,,,,,,,,"Grand arbre à réserver aux grandes parcelles. Récolte principale en hivernage (juillet-octobre, S28-42) + fructification secondaire en carême. Strictement tropical, gélif. Plantation début hivernage."
Arbre à pain — austral,Arbre à pain,Moraceae,Artocarpus altilis,,,46,,,48,,20,,1460,,900,,,,,tropical_austral,,a_revoir,true,,,,,,,,"Saison principale en plein été austral (nov.-avril) avec une seconde production plus faible. Espèce pilier des jardins polynésiens et wallisiens ; plantation par drageons au début des pluies, sols profonds et humides."
Arbre à pain — equatorial,Arbre à pain,Moraceae,Artocarpus altilis,,,15,,,6,,16,,1460,,1000,,,,,equatorial,,a_revoir,true,,,,,,,,"Multiplication par rejets racinaires (cultivars sans graines). Grand arbre : prévoir 10 m. Récolte principale en début d'année (fév-mai), seconde vague plus faible en cours d'année. Fruit consommé cuit (féculent). Très p"
INRAE-MESCLUN-0017,Artichaut,Asteraceae,Cynara scolymus,Plein champ,,9,9,22,,,,,,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne (Fiche),https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0017,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Artichaut.,"Implantation : Traditionnel, drageons \n Récolte : Première récolte en année 1 de semaine 31 à 44; en année 2 de semaine 22 à 35; en année 3 de semaine 22 à 27"
INRAE-MESCLUN-0018,Artichaut,Asteraceae,Cynara scolymus,Plein champ,,22,22,31,,,,,,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne (Fiche),https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0018,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Artichaut.,"Implantation : Plantation tardive, drageons \n Récolte : Pas de récolte en année 1; récolte de semaine 16 à 27 en année 2; de semaine 22 à 31 en année 3"
INRAE-MESCLUN-0019,Asperge,Asparagaceae,Asparagus officinalis,Plein champ,,9,9,14,,,,,,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne (Fiche),https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0019,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Asperge.,"Récolte : Pas de récolte en année 1 et 2; première récolte en année 3 de semaine 14 à 22; en année 4 et plus, récolte de semaine 14 à 24.. On peut aller jusqu'à 10-20 ans."
Aubergine — antilles,Aubergine,Solanaceae,Solanum melongena,,6,,,,20,,12,,100,,60,,,,,tropical_antilles,,a_revoir,true,,,,,,,,"Semis en pépinière en carême, repiquage à l'entrée des pluies pour une production étalée sur l'hivernage. Culture gourmande en azote et en eau ; forte pression des ravageurs (doryphore tropical, acariens, mouches) à surv"
Aubergine-plein-champ,Aubergine,Solanaceae,Solanum melongena,,6,21,,,32,,12,91,77,1,63,94,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:20:20.025Z, \n [2026-05-14] Aubergine : espacement arrondi 63 → 60 cm.,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Aubergine-serre,Aubergine,Solanaceae,Solanum melongena,Sous abri,5,14,,,24,,18,60,130,1,63,94,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:20:20.025Z, \n [2026-05-14] Aubergine : espacement arrondi 63 → 60 cm.,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0020,Aubergine,Solanaceae,Solanum melongena,Sous abri,,16,16,18,27,42,16,,126,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0020,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Aubergine — Aubergine.,
INRAE-MESCLUN-0021,Aubergine,Solanaceae,Solanum melongena,Sous abri,,18,18,20,29,44,16,,126,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0021,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Aubergine — Aubergine.,
INRAE-MESCLUN-0022,Aubergine,Solanaceae,Solanum melongena,Sous abri,,11,11,14,22,42,21,,133,,,,,Plantation,true,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0022,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Aubergine — Aubergine greffée.,
Avocatier — antilles,Avocatier,Lauraceae,Persea americana,,,25,,,26,,16,,1095,,700,,,,,tropical_antilles,,a_revoir,true,,,,,,,,"Privilégier la race antillaise (tolérante à la chaleur et à l'humidité) plutôt que mexicaine. Récolte juin-octobre (S26-42), en hivernage. Plantation début hivernage. Craint l'asphyxie racinaire : sol drainant."
Avocatier — austral,Avocatier,Lauraceae,Persea americana,,,46,,,16,,20,,1460,,700,,,,,tropical_austral,,a_revoir,true,,,,,,,,"À la Réunion, la récolte s'étale sur l'hiver austral (avril à septembre) selon les variétés, ce qui approvisionne le marché à contre-saison de l'hémisphère nord. Plantation en début de pluies sur sol drainant, à l'abri d"
Avocatier — equatorial,Avocatier,Lauraceae,Persea americana,,,15,,,28,,18,,1095,,800,,,,,equatorial,,a_revoir,true,,,,,,,,"Utiliser impérativement des variétés de race antillaise (ex. 'Pollock', 'Simmonds'), tolérantes à la chaleur et à l'humidité ; les races mexicaines/guatémaltèques supportent mal le climat équatorial. Récolte principale j"
Bananier — equatorial,Bananier,Musaceae,Musa acuminata (AAA),,,14,,,8,,40,,330,,280,,,,,equatorial,,a_revoir,true,,,,,,,,"Plantation possible quasi toute l'année ; caler l'installation du rejet sur l'entrée des pluies (avril) pour l'enracinement. Après établissement, régimes échelonnés toute l'année. Forte exigence en azote et potasse ; pai"
Bananier plantain — antilles,Bananier plantain,Musaceae,Musa spp.,,,24,,,28,,52,,390,,250,,,,,tropical_antilles,,a_revoir,true,,,,,,,,Culture phare Guadeloupe/Martinique. Plantation idéale début hivernage (S24) pour couvrir la phase végétative gourmande en eau. Production continue toute l'année une fois la bananeraie installée ; rendement indiqué par r
Bananier plantain — austral,Bananier plantain,Musaceae,Musa spp.,,,44,,,40,,52,,330,,250,,,,,tropical_austral,,a_revoir,true,,,,,,,,Production quasi continue à l'échelle de la bananeraie : la semaine de récolte indiquée est théorique (10-12 mois après plantation). Plantation idéale en début de saison des pluies pour couvrir la phase de croissance. Fo
Bananier plantain — equatorial,Bananier plantain,Musaceae,Musa spp.,,,14,,,20,,40,,390,,300,,,,,equatorial,,a_revoir,true,,,,,,,,"Installer les rejets à l'entrée des pluies (sem.14). Écartement plus large que le bananier dessert (pseudo-troncs plus hauts). Récolte du régime au stade 'grain plein' avant maturité. Cultivars locaux robustes ('Corne', "
Basilic-plein-champ,Basilic,Lamiaceae,Ocimum basilicum,,14,21,,,26,,4,,35,2,20,30,,,,,,a_revoir,true,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15T14:20:20.025Z,"Basilic : semis pépinière mars, plantation mi-mai après derniers gels, récolte juin à octobre (jusqu'aux premières gelées).","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Basilic-serre,Basilic,Lamiaceae,Ocimum basilicum,Sous abri,10,16,,,22,,4,56,42,2,20,30,,,,,,a_revoir,true,Le Jardinier-Maraîcher (J.-M. Fortier),,,,,2026-05-15T14:20:20.025Z,"Basilic : semis pépinière mars, plantation mi-mai après derniers gels, récolte juin à octobre (jusqu'aux premières gelées).","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0023,Basilic,Lamiaceae,Ocimum basilicum,Sous abri,,16,16,18,22,31,10,,70,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0023,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Basilic — Basilic.,
INRAE-MESCLUN-0024,Basilic,Lamiaceae,Ocimum basilicum,Sous abri,,20,20,22,27,33,7,,63,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0024,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Basilic — Basilic.,
INRAE-MESCLUN-0025,Basilic,Lamiaceae,Ocimum basilicum,Sous abri,,24,24,27,31,40,10,,70,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0025,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Basilic — Basilic.,
INRAE-MESCLUN-0026,Basilic,Lamiaceae,Ocimum basilicum,Sous abri,,29,29,31,35,44,10,,70,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0026,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Basilic — Basilic.,
Betterave-automne,Betterave,Amaranthaceae,Beta vulgaris,Sous abri,33,,,,45,,4,,84,2,20,30,5,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Semis direct, racine pivot — ne pas repiquer. Éclaircir à 5-8 cm. Récolte 60-80 jours selon variété.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Betterave-printemps,Betterave,Amaranthaceae,Beta vulgaris,Plein champ,10,,,,22,,4,,84,2,20,30,5,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Semis direct, racine pivot — ne pas repiquer. Éclaircir à 5-8 cm. Récolte 60-80 jours selon variété.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0027,Betterave,Amaranthaceae,Beta vulgaris,Plein champ,20,,20,24,35,52,18,,154,,,,,Semis,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0027,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Betterave conservation — Betterave saison.,
INRAE-MESCLUN-0028,Betterave,Amaranthaceae,Beta vulgaris,Sous abri,,5,5,7,18,22,5,,98,,,,,Plantation,true,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0028,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Betterave frais — Betterave botte.,
INRAE-MESCLUN-0029,Betterave,Amaranthaceae,Beta vulgaris,Sous abri,,42,42,44,14,18,5,,175,,,,,Plantation,true,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0029,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Betterave frais — Betterave botte.,
INRAE-MESCLUN-0030,Betterave,Amaranthaceae,Beta vulgaris,Plein champ,,11,11,14,22,27,6,,84,,,,,Plantation,true,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0030,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Betterave frais — Betterave botte.,
INRAE-MESCLUN-0031,Betterave,Amaranthaceae,Beta vulgaris,Plein champ,14,,14,16,27,35,9,,112,,,,,Semis,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0031,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Betterave frais — Betterave botte été.,
Blette-ete,Blette,Amaranthaceae,Beta vulgaris var. cicla,Plein champ,23,,,,35,,4,,84,2,35,52,3,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Semis direct, racine pivot — ne pas repiquer. Éclaircir à 5-8 cm. Récolte 60-80 jours selon variété.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Blette-printemps,Blette,Amaranthaceae,Beta vulgaris var. cicla,Plein champ,14,,,,26,,4,,84,2,35,52,3,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Semis direct, racine pivot — ne pas repiquer. Éclaircir à 5-8 cm. Récolte 60-80 jours selon variété.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0032,Blette,Amaranthaceae,Beta vulgaris var. cicla,Sous abri,,35,35,37,44,18,27,,147,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0032,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Blette — Blette.,
INRAE-MESCLUN-0033,Blette,Amaranthaceae,Beta vulgaris var. cicla,Plein champ,,11,11,14,20,29,10,,84,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0033,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Blette — Blette.,
