id,espece,fournisseur,semaineRecolte_actuel,semaineRecolte_AI,dureeRecolte_actuel,dureeRecolte_AI,nbGrainesG_actuel,nbGrainesG_AI,prixGraine_actuel,prixGraine_AI,prixVenteKg_AI,circuit_AI,description_actuelle,description_AI,sources_AI
Betterave-Detroit,Betterave,Kokopelli,,30.0,,4.0,60.0,60.0,,4.5,3.41,Court / AMAP / Marché,,Racine rustique (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Carotte Colmar à Coeur rouge 2,Carotte,,,30.0,,4.0,925.0,900.0,,4.5,2.5,Court / AMAP / Marché,,"Racine, semis direct (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Carotte Demi longue rouge sang,Carotte,,,30.0,,4.0,925.0,900.0,,4.5,2.5,Court / AMAP / Marché,,"Racine, semis direct (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Carotte Nantaise,Carotte,Ferme de Sainte Marthe,,30.0,,4.0,,900.0,,4.5,2.5,Court / AMAP / Marché,Carotte douce et sucrée,"Racine, semis direct (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Carotte Ronde Marché de Paris,Carotte,,,30.0,,4.0,925.0,900.0,,4.5,2.5,Court / AMAP / Marché,,"Racine, semis direct (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Carotte Touchon,Carotte,,,30.0,,4.0,925.0,900.0,,4.5,2.5,Court / AMAP / Marché,,"Racine, semis direct (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Carotte-Nantaise,Carotte,Germinance,,30.0,,4.0,800.0,900.0,,4.5,2.5,Court / AMAP / Marché,,"Racine, semis direct (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Carotte-Touchon,Carotte,Biaugerme,,30.0,,4.0,750.0,900.0,,4.5,2.5,Court / AMAP / Marché,"Demi-longue, sucrée","Racine, semis direct (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Chicorée scarole cornet d'anjou,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chicorée scarole géante maraîchère,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou Cabus,Chou,Germinance,,30.0,,4.0,,300.0,,4.5,3.0,Court / AMAP / Marché,Chou pommé d'hiver,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou brocoli Rasmus,Chou brocoli,,,30.0,,4.0,250.0,300.0,,4.5,5.36,Court / AMAP / Marché,,Inflorescence verte (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou de Bruxelles Groeninger,Chou de Bruxelles,,,30.0,,4.0,350.0,300.0,,4.5,11.83,Court / AMAP / Marché,,Petites pommes (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou de Bruxelles de Rosny,Chou de Bruxelles,,,30.0,,4.0,350.0,300.0,,4.5,11.83,Court / AMAP / Marché,,Petites pommes (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou de Chine Bilko,Chou de Chine,,,30.0,,4.0,350.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou de Chine Petsaï,Chou de Chine,,,30.0,,4.0,350.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou frisé Kale,Chou frisé,,,30.0,,4.0,300.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou frisé winster,Chou frisé,,,30.0,,4.0,300.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou pommé Amager Lav,Chou pommé,,,30.0,,4.0,300.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou pommé Pointu de Chateaurenard,Chou pommé,,,30.0,,4.0,300.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou pommé Thurnen,Chou pommé,,,30.0,,4.0,300.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou pommé Tête Noire,Chou pommé,,,30.0,,4.0,300.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou-fleur Neckarperle,Chou-fleur,,,30.0,,4.0,336.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Chou-rave Azur Star,Chou-rave,,,30.0,,4.0,300.0,300.0,,4.5,3.0,Court / AMAP / Marché,,Famille brassicacées (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Concombre Marketmore,Concombre,Kokopelli,,30.0,,4.0,35.0,35.0,,4.5,3.5,Court / AMAP / Marché,Concombre résistant aux maladies,Grimpante serre/champ (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Concombre Palestinien,Concombre,,,30.0,,4.0,35.0,35.0,,4.5,3.5,Court / AMAP / Marché,,Grimpante serre/champ (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Courge Butternut,Courge,Ferme de Sainte Marthe,,30.0,,4.0,4.58,8.0,,4.5,2.6,Court / AMAP / Marché,Courge muscquée douce,Coureuse ou buissonnante (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Courge Potimarron Red Kuri,Courge,,,30.0,,4.0,4.58,8.0,,4.5,2.6,Court / AMAP / Marché,,Coureuse ou buissonnante (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Courge butternut-Waltham,Courge butternut,Biaugerme,,30.0,,4.0,5.0,8.0,,4.5,2.61,Court / AMAP / Marché,,Musquée (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Courgette Black Beauty,Courgette,,,30.0,,4.0,7.7,8.0,,4.5,2.5,Court / AMAP / Marché,,"Non coureuse, productive (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Courgette Gold Rush,Courgette,,,30.0,,4.0,7.7,8.0,,4.5,2.5,Court / AMAP / Marché,,"Non coureuse, productive (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Courgette Ronde de Nice,Courgette,Kokopelli,,30.0,,4.0,,8.0,,4.5,2.5,Court / AMAP / Marché,Courgette ronde à farcir,"Non coureuse, productive (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Courgette Verte de Milan,Courgette,Germinance,,30.0,,4.0,,8.0,,4.5,2.5,Court / AMAP / Marché,Variété classique productive,"Non coureuse, productive (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Courgette-Ronde de Nice,Courgette,Kokopelli,,30.0,,4.0,6.0,8.0,,4.5,2.5,Court / AMAP / Marché,Parfaite pour farcir,"Non coureuse, productive (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Courgette-Verte de Milan,Courgette,Germinance,,30.0,,4.0,7.0,8.0,,4.5,2.5,Court / AMAP / Marché,,"Non coureuse, productive (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Céleri Branche,Céleri,Ferme de Sainte Marthe,,30.0,,4.0,,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,Céleri à côtes,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Céleri Elne,Céleri,,,30.0,,4.0,2500.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Céleri Plein blanc Pascal,Céleri,,,30.0,,4.0,2500.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Céleri branche,Céleri,,,30.0,,4.0,2500.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Epinard Géant d hiver Verdil,Epinard,,,30.0,,4.0,110.0,90.0,,4.5,5.81,Court / AMAP / Marché,,"Feuille, jours courts (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Epinard Matador,Epinard,,,30.0,,4.0,110.0,90.0,,4.5,5.81,Court / AMAP / Marché,,"Feuille, jours courts (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Epinard Viking,Epinard,,,30.0,,4.0,110.0,90.0,,4.5,5.81,Court / AMAP / Marché,,"Feuille, jours courts (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Fraise-Mara des Bois,Fraise,La Ferme de Sainte Marthe,,30.0,,4.0,,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,"Remontante, très parfumée",NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Fève Aguadulce,Fève,,,30.0,,4.0,0.75,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Fève de Séville,Fève,,,30.0,,4.0,0.75,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Hannibal été automne,Poireau,,,30.0,,4.0,300.3,300.0,,4.5,3.0,Court / AMAP / Marché,,Légume d'hiver (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Haricot Black Turtle,Haricot,,,30.0,,4.0,3.0,3.0,,4.5,8.0,Court / AMAP / Marché,,Sensible au froid (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Haricot Contender,Haricot vert,Biaugerme,,30.0,,4.0,,3.0,,4.5,8.0,Court / AMAP / Marché,Haricot nain très productif,Sensible au froid (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Haricot Flageolet rouge,Haricot,,,30.0,,4.0,3.0,3.0,,4.5,8.0,Court / AMAP / Marché,,Sensible au froid (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Haricot Morgane,Haricot,,,30.0,,4.0,5.0,3.0,,4.5,8.0,Court / AMAP / Marché,,Sensible au froid (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Haricot Tarbais (maïs),Haricot,,,30.0,,4.0,3.0,3.0,,4.5,8.0,Court / AMAP / Marché,,Sensible au froid (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Haricot Émerite,Haricot,,,30.0,,4.0,5.0,3.0,,4.5,8.0,Court / AMAP / Marché,,Sensible au froid (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Haricot-Coco de Prague,Haricot sec,Kokopelli,,30.0,,4.0,2.0,3.0,,4.5,8.0,Court / AMAP / Marché,,Sensible au froid (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Haricot-Contender,Haricot vert,Germinance,,30.0,,4.0,3.0,3.0,,4.5,8.0,Court / AMAP / Marché,"Nain, très productif",Sensible au froid (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue Batavia,Laitue,Germinance,,30.0,,4.0,,900.0,,4.5,6.0,Court / AMAP / Marché,Laitue croquante résistante à la chaleur,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue Crisp Mint,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue Feuille de Chêne,Laitue,Kokopelli,,30.0,,4.0,,900.0,,4.5,6.0,Court / AMAP / Marché,Laitue à couper,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue Feuille de chêne rouge,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue Great Lakes,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue Grenobloise,Laitue,,,30.0,,4.0,1109.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue Pasquier,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue Pommée d'hiver Triolaise,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue Romaine d'hiver rouge,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue pommée du bon jardinier,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue à couper feuille de chêne rouge,Laitue,,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue-Batavia,Laitue,Germinance,,30.0,,4.0,800.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Laitue-Feuille de chêne,Laitue,Semailles,,30.0,,4.0,850.0,900.0,,4.5,6.0,Court / AMAP / Marché,,Salade rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Maïs Grand Roux,Maïs,,,30.0,,4.0,4.5,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Melon Cantaloup Charentais,Melon,,,30.0,,4.0,35.0,30.0,,4.5,3.5,Court / AMAP / Marché,,Exigeant chaleur (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Moutarde,Moutarde,,,30.0,,4.0,130.0,100.0,,4.5,8.0,Court / AMAP / Marché,,Engrais vert/condiment (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Mâche verte,Mâche,,,30.0,,4.0,660.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Mâche verte à coeur plein,Mâche,,,30.0,,4.0,660.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Mélilot,Mélilot,,,30.0,,4.0,120.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Navet Globe à col violet,Navet,,,30.0,,4.0,600.0,500.0,,4.5,4.43,Court / AMAP / Marché,,Racine rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Navet Jaune Petrowski,Navet,,,30.0,,4.0,600.0,500.0,,4.5,4.43,Court / AMAP / Marché,,Racine rapide (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Oignon Bulbilles Red Baron,Oignon,,,30.0,,4.0,227.0,250.0,,4.5,2.5,Court / AMAP / Marché,,Conservation (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Oignon Bulbilles Sturon,Oignon,,,30.0,,4.0,264.0,250.0,,4.5,2.5,Court / AMAP / Marché,,Conservation (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Oignon Jaune Paille,Oignon,Biaugerme,,30.0,,4.0,,250.0,,4.5,2.5,Court / AMAP / Marché,Oignon de conservation,Conservation (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Oignon Jaune de Stuttgart,Oignon,,,30.0,,4.0,264.0,250.0,,4.5,2.5,Court / AMAP / Marché,,Conservation (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Oignon Mazères,Oignon,,,30.0,,4.0,264.0,250.0,,4.5,2.5,Court / AMAP / Marché,,Conservation (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Oignon Rouge de Brunswick,Oignon,,,30.0,,4.0,264.0,250.0,,4.5,2.5,Court / AMAP / Marché,,Conservation (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Oignon Saint Turjan,Oignon,,,30.0,,4.0,264.0,250.0,,4.5,2.5,Court / AMAP / Marché,,Conservation (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Oignon-Jaune Paille des Vertus,Oignon,Germinance,,30.0,,4.0,250.0,250.0,,4.5,2.5,Court / AMAP / Marché,,Conservation (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Panais Etroit amélioré,Panais,,,30.0,,4.0,220.0,200.0,,4.5,3.5,Court / AMAP / Marché,,Racine sucrée (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Panais Turga Pré germé,Panais,,,30.0,,4.0,30.8,200.0,,4.5,3.5,Court / AMAP / Marché,,Racine sucrée (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Panais long holkruin,Panais,,,30.0,,4.0,220.0,200.0,,4.5,3.5,Court / AMAP / Marché,,Racine sucrée (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Patate douce,Patate douce,,,30.0,,4.0,,100.0,,4.5,4.0,Court / AMAP / Marché,,Tubercule tropical (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Persil Géant d'Italie,Persil,Biaugerme,,30.0,,4.0,570.5,650.0,,4.5,15.0,Court / AMAP / Marché,Persil plat très aromatique,Germination lente (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Persil à feuilles frisées vert foncé,Persil,,,30.0,,4.0,600.0,650.0,,4.5,15.0,Court / AMAP / Marché,,Germination lente (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Petit pois-Merveille de Kelvedon,Petit pois,Germinance,,30.0,,4.0,4.0,4.0,,4.5,8.0,Court / AMAP / Marché,,Pois frais (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Phacélie population,Phacélie,,,30.0,,4.0,550.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Physalis Alkékenge jaune doux,Physalis,,,30.0,,4.0,300.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Piment Doux des landes,Poivron piment,,,30.0,,4.0,150.0,150.0,,4.5,15.0,Court / AMAP / Marché,,Chaleur indispensable (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poireau Bleu de Solaise,Poireau,Biaugerme,,30.0,,4.0,,300.0,,4.5,3.0,Court / AMAP / Marché,Poireau d'hiver rustique,Légume d'hiver (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poireau Gros long d'été,Poireau,,,30.0,,4.0,300.3,300.0,,4.5,3.0,Court / AMAP / Marché,,Légume d'hiver (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poireau Monstrueux de Carentan,Poireau,,,30.0,,4.0,300.3,300.0,,4.5,3.0,Court / AMAP / Marché,,Légume d'hiver (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poireau de Liège,Poireau,,,30.0,,4.0,300.3,300.0,,4.5,3.0,Court / AMAP / Marché,,Légume d'hiver (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poireau-Bleu de Solaise,Poireau,Biaugerme,,30.0,,4.0,400.0,300.0,,4.5,3.0,Court / AMAP / Marché,Résistant au froid,Légume d'hiver (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Pois Petit Provençal,Pois,Germinance,,30.0,,4.0,,4.0,,4.5,8.0,Court / AMAP / Marché,Petit pois nain précoce,Pois frais (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poivron California Wonder,Poivron,Ferme de Sainte Marthe,,30.0,,4.0,,150.0,,4.5,6.0,Court / AMAP / Marché,Gros poivron carré,Serre recommandée (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poivron Jaune carré d'Asti,Poivron piment,,,30.0,,4.0,150.0,150.0,,4.5,15.0,Court / AMAP / Marché,,Chaleur indispensable (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poivron Wisconsin Lake,Poivron piment,,,30.0,,4.0,150.0,150.0,,4.5,15.0,Court / AMAP / Marché,,Chaleur indispensable (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poivron Yolo wonder,Poivron piment,,,30.0,,4.0,150.0,150.0,,4.5,15.0,Court / AMAP / Marché,,Chaleur indispensable (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Poivron-Corno di Toro,Poivron,Kokopelli,,30.0,,4.0,150.0,150.0,,4.5,6.0,Court / AMAP / Marché,"Long, très doux",Serre recommandée (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Pomme de terre Artémis,Pomme de terre,,,30.0,,4.0,,100.0,,4.5,2.5,Court / AMAP / Marché,,Tubercule base (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Pomme de terre Bintje,Pomme de terre,,,30.0,,4.0,,100.0,,4.5,2.5,Court / AMAP / Marché,PDT polyvalente,Tubercule base (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Pomme de terre Ditta,Pomme de terre,,,30.0,,4.0,,100.0,,4.5,2.5,Court / AMAP / Marché,,Tubercule base (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Pomme de terre Désirée,Pomme de terre,,,30.0,,4.0,,100.0,,4.5,2.5,Court / AMAP / Marché,,Tubercule base (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Potimarron-Red Kuri,Potimarron,Kokopelli,,30.0,,4.0,4.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Radis Rond écarlate,Radis,,,30.0,,4.0,120.0,100.0,,4.5,5.0,Court / AMAP / Marché,,Cycle court (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Radis de 18 jours,Radis,Biaugerme,,30.0,,4.0,,100.0,,4.5,5.0,Court / AMAP / Marché,Radis rouge précoce,Cycle court (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Radis-rave Daikon,Radis,,,30.0,,4.0,120.0,100.0,,4.5,5.0,Court / AMAP / Marché,,Cycle court (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Radis-rave Rond noir,Radis,,,30.0,,4.0,120.0,100.0,,4.5,5.0,Court / AMAP / Marché,,Cycle court (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Ricin New Zealand Purple,Ricin,,,30.0,,4.0,1.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,Ornemental toxique (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Roquette,Roquette,,,30.0,,4.0,660.0,100.0,,4.5,12.0,Court / AMAP / Marché,,Salade piquante (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Sorgo Koral,Sorgho,,,30.0,,4.0,27.0,100.0,,4.5,5.0,Court / AMAP / Marché,,Céréale africaine (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Tomate Ananas,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Andines cornues,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Cerise,Tomate,Biaugerme,,30.0,,4.0,,325.0,,4.5,3.5,Court / AMAP / Marché,Petites tomates très sucrées,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Cerise petit moineau,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Coeur de Boeuf,Tomate,Kokopelli,,30.0,,4.0,,325.0,,4.5,3.5,Court / AMAP / Marché,"Grosse tomate charnue, peu de graines","Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Homestead,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Merveille des marchés,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Roma,Tomate,Ferme de Sainte Marthe,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,"Tomate allongée, idéale pour sauces","Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Rose de Berne,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
